,Station,Tube Line,Transport Zone,Address,Longitude,Latitude
161,Chadwell Heath,Overground line,Zone 5,"Dagenham, Romford RM6 4BU, UK",0.128901112,51.56804688
162,Chafford Hundred,Overground line,Zone 7,"Chafford Hundred, Grays RM16 6QQ, UK",0.287475701,51.4855545
163,Chalfont and Latimer,Metropolitan line,Zone 8,"Little Chalfont, Amersham HP6 6RZ, UK",-0.561067777,51.66790748
164,Chalk Farm,Northern line,Zone 2,"Chalk Farm, London NW3 2BP, UK",-0.153733071,51.54414909
165,Chancery Lane,Central line (London Underground),Zone 1,"Holborn, London WC1V 6DR, UK",-0.111962027,51.51849402
166,Charing Cross,Bakerloo line,Zone 1,"Charing Cross, London WC2N 5DR, UK",-0.124802938,51.50835863
167,Charing Cross,Northern line,Zone 1,"Charing Cross, London WC2N 5DR, UK",-0.124802938,51.50835863
168,Charlton,Overground line,Zone 3,"London SE7 7QG, UK",0.030941645,51.48683499
169,Cheam,Overground line,Zone 5,"Station Approach, Upper Mulgrave Rd, Sutton SM2 7AJ, UK",-0.214211284,51.35546024
170,Chelsfield,Overground line,Zone 6,"Chelsfield, UK",0.10898412,51.35626458
171,Chesham,Metropolitan line,Zone 9,"Station Rd, Chesham HP5 1BP, UK",-0.611429657,51.70538002
172,Cheshunt,Overground line,Zone 8,"Cheshunt, Waltham Cross EN8 9AQ, UK",-0.023887415,51.70287331
173,Chessington North,Overground line,Zone 6,"Chessington KT9 2EX, UK",-0.300476129,51.36424344
174,Chessington South,Overground line,Zone 6,"Chessington KT9 2JT, UK",-0.307089021,51.35670453
175,Chigwell,Central line (London Underground),Zone 4,"Station Rd, Chigwell IG7 6NT, UK",0.076179215,51.61785787
176,Chingford,Overground line,Zone 5,"Chingford, London E4 6AL, UK",0.009514326,51.63325337
177,Chipstead,Overground line,Zone 6,"Chipstead, Coulsdon CR5 3TD, UK",-0.169445869,51.30927498
178,Chislehurst,Overground line,Zone 5,"Chislehurst, UK",0.057491821,51.40559841
179,Chiswick,Overground line,Zone 3,"Chiswick, London W4, UK",-0.267013322,51.48078149
180,Chiswick Park,District line,Zone 3,"Chiswick, London W4 5EB, UK",-0.267736922,51.49437071
181,Chorleywood,Metropolitan line,Zone 7,"Chorleywood, Rickmansworth WD3 5ND, UK",-0.518333927,51.65426593
182,Church Street,Overground line,Zone 3,"Croydon CR0 1RN, UK",-0.104346829,51.37370656
183,Church Street,Overground line,Zone 4,"Croydon CR0 1RN, UK",-0.104346829,51.37370656
184,Church Street,Overground line,Zone 5,"Croydon CR0 1RN, UK",-0.104346829,51.37370656
185,Church Street,Overground line,Zone 6,"Croydon CR0 1RN, UK",-0.104346829,51.37370656
186,City Thameslink,Overground line,Zone 1,"Ludgate Hill, London EC4M 7JH, UK",-0.103618449,51.51393507
187,Clapham Common,Northern line,Zone 2,"The Pavement, Clapham Town, London SW4 0HY, UK",-0.138314902,51.46180367
188,Clapham High Street,Overground line,Zone 2,"Clapham Town, London SW4 6DQ, UK",-0.132464503,51.46546951
189,Clapham Junction,Overground line,Zone 2,"Clapham Junction, London SW11, UK",-0.170315002,51.46436678
190,Clapham North,Northern line,Zone 2,"Clapham High St, Larkhall, London SW4 7TS, UK",-0.129910063,51.46491621
191,Clapham South,Northern line,Zone 2,"Balham Hill, Balham, London SW12 9DU, UK",-0.14798407,51.45267649
192,Clapham South,Northern line,Zone 3,"Balham Hill, Balham, London SW12 9DU, UK",-0.14798407,51.45267649
193,Clapton,Overground line,Zone 2,"Clapton, London E5 9JP, UK",-0.057489458,51.56156909
194,Clock House,Overground line,Zone 4,"Beckenham BR3 4GS, UK",-0.040702093,51.40854056
195,Cockfosters,Piccadilly line,Zone 5,"Barnet EN4 0DZ, UK",-0.149916711,51.65202448
196,Colindale,Northern line,Zone 4,"London NW9 5HJ, UK",-0.250287544,51.59523052
197,Colliers Wood,Northern line,Zone 3,"Colliers Wood, London SW19, UK",-0.1774151,51.41875919
198,Coombe Lane,Overground line,Zone 3,"Coombe Rd, Croydon CR0 5RF, UK",-0.059531571,51.35978931
199,Coombe Lane,Overground line,Zone 4,"Coombe Rd, Croydon CR0 5RF, UK",-0.059531571,51.35978931
200,Coombe Lane,Overground line,Zone 5,"Coombe Rd, Croydon CR0 5RF, UK",-0.059531571,51.35978931
201,Coombe Lane,Overground line,Zone 6,"Coombe Rd, Croydon CR0 5RF, UK",-0.059531571,51.35978931
202,Coulsdon South,Overground line,Zone 6,"Coulsdon CR5 3GP, UK",-0.13790309,51.31580094
203,Coulsdon Town,Overground line,Zone 6,"Coulsdon CR5 2ND, UK",-0.134347057,51.32245295
204,Covent Garden,Piccadilly line,Zone 1,"Long Acre, Charing Cross, London WC2E 9JT, UK",-0.124506895,51.51276023
205,Crayford,Overground line,Zone 6,"Crayford, Dartford DA1 3PY, UK",0.178502716,51.44854676
