,id,price,distance,address
57856,28929,"£1,395,000",0.2,South Hampstead
57857,28929,"£1,395,000",0.2,Swiss Cottage
57858,28930,"£2,500,000",0.1,London Paddington
57859,28930,"£2,500,000",0.2,Paddington
57860,28931,"£795,000",0.2,Tottenham Court Road
57861,28931,"£795,000",0.2,Covent Garden
57862,28932,"£800,000",0.3,Warwick Avenue
57863,28932,"£800,000",0.4,Maida Vale
57864,28933,"£695,000",0.0,Covent Garden
57865,28933,"£695,000",0.2,Leicester Square
57866,28934,"£1,900,000",0.1,Victoria
57867,28934,"£1,900,000",0.1,London Victoria
57868,28935,"£1,995,000",0.0,Great Portland Street
57869,28935,"£1,995,000",0.2,Regent's Park
57870,28936,"£1,950,000",0.0,Great Portland Street
57871,28936,"£1,950,000",0.2,Regent's Park
57872,28937,"£715,000",0.2,Millbank Millennium Pier
57873,28937,"£715,000",0.3,Lambeth Pier
57874,28938,"£795,000",0.2,Millbank Millennium Pier
57875,28938,"£795,000",0.3,Lambeth Pier
57876,28939,"£3,950,000",0.3,Westminster
57877,28939,"£3,950,000",0.3,St. James's Park
57878,28940,"£2,500,000",0.1,London Paddington
57879,28940,"£2,500,000",0.2,Paddington
57880,28941,"£795,000",0.2,St. John's Wood
57881,28941,"£795,000",0.7,South Hampstead
57882,28942,"£500,000",0.3,Maida Vale
57883,28942,"£500,000",0.3,St. John's Wood
57884,28943,"£750,000",0.2,Millbank Millennium Pier
57885,28943,"£750,000",0.3,Lambeth Pier
57886,28944,"£650,000",0.3,Pimlico
57887,28944,"£650,000",0.4,Victoria
57888,28945,"£725,000",0.2,Edgware Road Circle
57889,28945,"£725,000",0.3,Edgware Road Bakerloo
57890,28946,"£1,150,000",0.3,Warwick Avenue
57891,28946,"£1,150,000",0.3,Maida Vale
57892,28947,"£800,000",0.3,Pimlico
57893,28947,"£800,000",0.4,St George Wharf Pier
57894,28948,"£875,000",0.4,London Marylebone
57895,28948,"£875,000",0.4,Marylebone
57896,28949,"£3,000,000",0.2,London Charing Cross
57897,28949,"£3,000,000",0.2,Embankment
